,date,variable,value
574,2019-09-08,best afternoon tea near me,62
575,2019-09-15,best afternoon tea near me,70
576,2019-09-22,best afternoon tea near me,74
577,2019-09-29,best afternoon tea near me,22
578,2019-10-06,best afternoon tea near me,51
579,2019-10-13,best afternoon tea near me,67
580,2019-10-20,best afternoon tea near me,33
581,2019-10-27,best afternoon tea near me,44
582,2019-11-03,best afternoon tea near me,43
583,2019-11-10,best afternoon tea near me,65
584,2019-11-17,best afternoon tea near me,21
585,2019-11-24,best afternoon tea near me,55
586,2019-12-01,best afternoon tea near me,21
587,2019-12-08,best afternoon tea near me,44
588,2019-12-15,best afternoon tea near me,45
589,2019-12-22,best afternoon tea near me,66
590,2019-12-29,best afternoon tea near me,34
591,2020-01-05,best afternoon tea near me,28
592,2020-01-12,best afternoon tea near me,41
593,2020-01-19,best afternoon tea near me,21
594,2020-01-26,best afternoon tea near me,52
595,2020-02-02,best afternoon tea near me,63
596,2020-02-09,best afternoon tea near me,48
597,2020-02-16,best afternoon tea near me,48
598,2020-02-23,best afternoon tea near me,100
599,2020-03-01,best afternoon tea near me,47
600,2019-03-24,best vegetarian sausages,0
601,2019-03-31,best vegetarian sausages,24
602,2019-04-07,best vegetarian sausages,24
603,2019-04-14,best vegetarian sausages,52
604,2019-04-21,best vegetarian sausages,25
605,2019-04-28,best vegetarian sausages,24
606,2019-05-05,best vegetarian sausages,24
607,2019-05-12,best vegetarian sausages,25
608,2019-05-19,best vegetarian sausages,24
609,2019-05-26,best vegetarian sausages,0
610,2019-06-02,best vegetarian sausages,35
611,2019-06-09,best vegetarian sausages,24
612,2019-06-16,best vegetarian sausages,24
613,2019-06-23,best vegetarian sausages,48
614,2019-06-30,best vegetarian sausages,73
615,2019-07-07,best vegetarian sausages,48
616,2019-07-14,best vegetarian sausages,24
617,2019-07-21,best vegetarian sausages,25
618,2019-07-28,best vegetarian sausages,25
619,2019-08-04,best vegetarian sausages,36
620,2019-08-11,best vegetarian sausages,0
621,2019-08-18,best vegetarian sausages,25
622,2019-08-25,best vegetarian sausages,37
623,2019-09-01,best vegetarian sausages,0
624,2019-09-08,best vegetarian sausages,35
625,2019-09-15,best vegetarian sausages,23
626,2019-09-22,best vegetarian sausages,22
627,2019-09-29,best vegetarian sausages,22
628,2019-10-06,best vegetarian sausages,22
629,2019-10-13,best vegetarian sausages,45
630,2019-10-20,best vegetarian sausages,22
631,2019-10-27,best vegetarian sausages,33
632,2019-11-03,best vegetarian sausages,22
633,2019-11-10,best vegetarian sausages,55
634,2019-11-17,best vegetarian sausages,22
635,2019-11-24,best vegetarian sausages,21
636,2019-12-01,best vegetarian sausages,21
637,2019-12-08,best vegetarian sausages,29
638,2019-12-15,best vegetarian sausages,23
639,2019-12-22,best vegetarian sausages,25
640,2019-12-29,best vegetarian sausages,90
641,2020-01-05,best vegetarian sausages,63
642,2020-01-12,best vegetarian sausages,34
643,2020-01-19,best vegetarian sausages,100
644,2020-01-26,best vegetarian sausages,21
645,2020-02-02,best vegetarian sausages,32
646,2020-02-09,best vegetarian sausages,55
647,2020-02-16,best vegetarian sausages,41
648,2020-02-23,best vegetarian sausages,30
649,2020-03-01,best vegetarian sausages,41
650,2019-03-24,best kebab cleveleys,61
651,2019-03-31,best kebab cleveleys,30
652,2019-04-07,best kebab cleveleys,30
653,2019-04-14,best kebab cleveleys,47
654,2019-04-21,best kebab cleveleys,30
655,2019-04-28,best kebab cleveleys,0
656,2019-05-05,best kebab cleveleys,29
657,2019-05-12,best kebab cleveleys,60
658,2019-05-19,best kebab cleveleys,30
659,2019-05-26,best kebab cleveleys,29
660,2019-06-02,best kebab cleveleys,0
661,2019-06-09,best kebab cleveleys,0
662,2019-06-16,best kebab cleveleys,44
663,2019-06-23,best kebab cleveleys,0
664,2019-06-30,best kebab cleveleys,29
665,2019-07-07,best kebab cleveleys,29
666,2019-07-14,best kebab cleveleys,58
667,2019-07-21,best kebab cleveleys,30
668,2019-07-28,best kebab cleveleys,30
669,2019-08-04,best kebab cleveleys,58
670,2019-08-11,best kebab cleveleys,0
671,2019-08-18,best kebab cleveleys,30
672,2019-08-25,best kebab cleveleys,30
673,2019-09-01,best kebab cleveleys,100
674,2019-09-08,best kebab cleveleys,42
675,2019-09-15,best kebab cleveleys,0
676,2019-09-22,best kebab cleveleys,53
677,2019-09-29,best kebab cleveleys,0
678,2019-10-06,best kebab cleveleys,27
679,2019-10-13,best kebab cleveleys,27
680,2019-10-20,best kebab cleveleys,0
681,2019-10-27,best kebab cleveleys,27
682,2019-11-03,best kebab cleveleys,26
683,2019-11-10,best kebab cleveleys,26
